,image_name,label
157,1292_609_S,S
158,1500_718_S,S
159,1818_867_S,S
160,1215_573_S,S
161,2307_1089_B,B
162,1428_680_S,S
163,2460_1172_S,S
164,966_460_S,S
165,1038_485_B,B
166,950_453_B,B
167,544_263_S,S
168,1548_741_S,S
169,1606_767_B,B
170,1241_581_B,B
171,1627_778_S,S
172,1356_641_S,S
173,724_339_S,S
174,839_390_B,B
175,558_270_B,B
176,1573_754_B,B
177,2123_1003_B,B
178,2077_981_S,S
179,831_385_B,B
180,550_265_B,B
181,638_301_B,B
182,458_225_S,S
183,945_449_B,B
184,656_307_S,S
185,2241_1057_B,B
186,1133_534_S,S
187,354_173_B,B
188,2411_1148_B,B
189,403_201_S,S
190,2370_1127_B,B
191,634_300_B,B
192,2162_1021_B,B
193,995_469_S,S
194,1848_881_B,B
195,622_295_S,S
196,1298_611_B,B
197,58_27_S,S
198,2006_943_B,B
199,517_252_S,S
200,1262_593_B,B
201,1025_477_B,B
202,59_27_S,S
203,317_150_S,S
204,1340_634_B,B
205,1108_521_B,B
206,1544_740_S,S
207,1230_578_B,B
208,2526_1213_B,B
209,1947_922_B,B
210,686_321_S,S
211,1822_868_B,B
212,961_458_S,S
213,2271_1072_S,S
214,2168_1024_B,B
215,427_210_B,B
216,524_254_S,S
217,548_264_B,B
218,2293_1082_S,S
219,728_340_S,S
220,2029_956_S,S
221,765_354_B,B
222,2268_1070_B,B
223,1758_833_S,S
224,1212_570_B,B
225,1594_766_S,S
226,2301_1085_S,S
227,1866_888_B,B
228,844_393_S,S
229,2291_1081_S,S
230,2429_1156_S,S
231,625_296_B,B
232,1379_654_B,B
233,2585_1242_S,S
234,2557_1229_S,S
235,388_192_S,S
236,2356_1118_B,B
237,1160_546_B,B
238,247_118_B,B
239,1399_665_B,B
240,1981_932_B,B
241,2509_1203_B,B
242,979_464_S,S
243,2182_1029_S,S
244,539_260_B,B
245,2482_1184_B,B
246,1111_523_B,B
247,259_122_B,B
248,1364_644_S,S
249,405_201_B,B
250,1135_534_B,B
251,1851_883_B,B
252,2532_1215_B,B
253,2043_960_B,B
254,359_177_S,S
255,835_388_B,B
256,919_434_B,B
257,1393_662_B,B
258,2024_954_S,S
259,779_363_S,S
260,446_222_S,S
261,1812_866_B,B
262,1023_477_S,S
263,1090_514_B,B
264,1655_789_S,S
265,1189_561_B,B
266,2381_1132_B,B
267,487_237_S,S
268,235_112_S,S
269,1920_909_B,B
270,624_295_B,B
271,928_439_B,B
272,2529_1214_S,S
273,2119_1001_B,B
274,1905_902_S,S
275,667_313_S,S
276,1733_822_B,B
277,49_22_B,B
278,1294_609_B,B
279,2577_1240_S,S
280,1911_904_B,B
281,1272_598_S,S
282,1551_743_S,S
283,175_83_S,S
284,1318_623_S,S
285,1648_786_S,S
286,586_283_S,S
287,334_160_B,B
288,1498_716_B,B
289,1139_535_B,B
290,643_302_B,B
291,1054_491_S,S
292,1299_612_B,B
293,1120_528_S,S
294,2050_965_B,B
295,1519_727_S,S
296,416_204_B,B
297,2341_1109_B,B
298,160_77_S,S
299,2214_1048_S,S
300,2058_970_B,B
301,161_77_S,S
302,2390_1136_S,S
303,2470_1180_S,S
304,195_89_S,S
305,1493_714_S,S
306,1083_511_B,B
307,2203_1040_S,S
308,2304_1087_B,B
309,501_246_B,B
310,1302_614_S,S
311,678_317_S,S
312,884_416_B,B
313,1060_494_B,B
314,617_293_B,B
315,2135_1006_B,B
316,179_84_S,S
317,1182_558_B,B
318,222_103_S,S
319,178_84_S,S
320,783_365_S,S
321,1941_919_B,B
322,875_412_S,S
323,608_291_S,S
324,2251_1063_S,S
325,2451_1167_B,B
326,154_75_S,S
327,660_310_B,B
328,1836_877_S,S
329,1152_543_B,B
330,2582_1241_S,S
331,1643_786_S,S
332,635_301_S,S
333,994_468_B,B
334,1842_879_S,S
335,180_84_S,S
336,402_200_B,B
337,2325_1101_S,S
338,441_218_B,B
339,1727_820_S,S
340,2044_961_B,B
341,1191_562_S,S
342,2174_1026_S,S
343,1996_940_S,S
344,572_276_S,S
345,1231_579_S,S
346,1341_635_S,S
347,2107_994_S,S
348,1781_844_B,B
349,1682_800_S,S
350,1171_553_S,S
351,2274_1072_S,S
352,1268_596_S,S
353,468_229_B,B
354,1955_926_S,S
355,694_325_B,B
356,2126_1005_S,S
357,812_377_B,B
358,1658_790_B,B
359,16_7_B,B
360,1709_814_S,S
361,1214_572_B,B
362,1378_653_B,B
363,1862_887_S,S
364,361_177_B,B
365,1203_565_S,S
366,2017_950_B,B
367,2076_980_B,B
368,82_42_S,S
369,39_18_S,S
370,2472_1181_B,B
371,15_6_B,B
372,1766_835_B,B
373,2426_1155_B,B
374,1918_909_S,S
375,2316_1096_B,B
376,772_358_B,B
377,559_271_S,S
378,293_137_B,B
379,1236_581_S,S
380,817_379_B,B
381,644_303_B,B
382,951_454_B,B
383,2145_1011_S,S
384,2000_941_B,B
385,2334_1105_B,B
386,1720_818_S,S
387,1466_700_B,B
388,1867_889_S,S
389,461_226_B,B
390,650_305_S,S
391,1010_475_S,S
392,1579_757_B,B
393,1270_597_S,S
394,381_186_B,B
395,1932_914_S,S
396,973_461_B,B
397,1660_792_B,B
398,2515_1207_B,B
399,1382_655_B,B
400,701_329_S,S
401,2530_1214_S,S
402,2419_1153_B,B
403,1969_930_S,S
404,37_16_B,B
405,355_174_B,B
406,101_51_S,S
407,116_57_S,S
408,1337_632_B,B
409,991_466_B,B
410,1521_727_B,B
411,2413_1150_S,S
412,1823_869_S,S
413,255_121_S,S
414,736_343_S,S
415,1825_870_B,B
416,272_127_S,S
417,209_94_B,B
418,1635_781_B,B
419,2007_944_B,B
420,1263_594_B,B
421,2547_1224_B,B
422,1770_838_S,S
423,549_265_S,S
424,1412_670_S,S
425,2521_1209_B,B
426,2284_1075_B,B
427,1419_674_S,S
428,2379_1131_B,B
429,822_382_S,S
430,148_73_B,B
431,1601_766_B,B
432,2406_1144_B,B
433,882_414_B,B
434,193_88_S,S
435,1574_755_B,B
436,1336_631_B,B
437,2180_1028_B,B
438,940_445_S,S
439,1284_606_S,S
440,672_314_S,S
441,998_470_B,B
442,1550_742_B,B
443,1252_586_S,S
444,1820_867_B,B
445,574_276_B,B
446,358_176_B,B
447,1207_568_S,S
448,2092_987_S,S
449,1828_872_B,B
450,2219_1048_B,B
451,1844_879_B,B
452,1473_705_S,S
453,2376_1129_B,B
454,1147_542_S,S
455,486_236_B,B
456,931_441_S,S
457,1813_867_S,S
458,1091_515_S,S
459,2539_1219_B,B
460,1908_902_B,B
461,778_362_B,B
462,460_225_B,B
463,145_72_S,S
464,2477_1183_S,S
465,712_335_S,S
466,2160_1020_S,S
467,228_106_B,B
468,1283_605_B,B
469,580_281_S,S
470,885_417_S,S
471,2500_1197_S,S
472,1885_897_S,S
473,695_326_B,B
474,1651_786_B,B
475,1027_478_B,B
476,1158_546_S,S
477,661_311_S,S
478,1326_625_B,B
479,2363_1124_S,S
480,715_336_B,B
481,417_205_S,S
482,2081_982_S,S
483,165_79_S,S
484,140_67_B,B
485,878_412_B,B
486,2551_1227_S,S
487,799_372_S,S
488,164_79_S,S
489,2305_1088_S,S
490,2349_1114_S,S
491,2462_1173_B,B
492,756_350_S,S
493,191_87_S,S
494,173_82_S,S
495,2548_1225_B,B
496,190_87_S,S
497,633_299_B,B
498,2045_962_B,B
499,30_15_S,S
500,111_54_B,B
501,1089_514_S,S
502,1965_928_S,S
503,31_15_S,S
504,42_20_S,S
505,1059_493_B,B
506,1659_791_B,B
507,1970_930_S,S
508,280_129_B,B
509,645_304_S,S
510,43_20_S,S
511,874_411_B,B
512,434_215_S,S
513,920_435_S,S
514,795_371_S,S
515,1903_902_S,S
516,260_123_S,S
517,2537_1217_B,B
518,532_259_S,S
519,2404_1143_S,S
520,2288_1078_B,B
521,1371_647_B,B
522,2086_985_S,S
523,2567_1237_B,B
524,292_136_B,B
525,1587_763_B,B
526,773_359_B,B
527,1938_917_B,B
528,385_189_B,B
529,975_463_S,S
530,276_128_S,S
531,369_182_S,S
532,2350_1114_B,B
533,887_418_B,B
534,1127_532_S,S
535,649_305_S,S
536,2051_966_S,S
537,1034_484_S,S
538,1246_584_S,S
539,390_193_B,B
540,903_427_S,S
541,2432_1157_S,S
542,785_365_S,S
543,1369_646_B,B
544,2386_1135_S,S
545,948_452_S,S
546,1103_518_S,S
547,1430_681_B,B
548,1710_814_S,S
549,1857_885_S,S
550,1275_600_B,B
551,829_384_S,S
552,1634_780_B,B
553,906_429_S,S
554,1443_688_S,S
555,1219_574_S,S
556,1704_812_B,B
557,593_286_S,S
558,2361_1123_B,B
559,1467_701_B,B
560,2153_1016_S,S
561,2423_1155_S,S
562,2570_1239_S,S
563,234_111_B,B
564,1708_813_B,B
565,816_378_B,B
566,602_290_S,S
567,371_183_S,S
568,1449_690_B,B
569,2303_1086_B,B
570,850_395_S,S
571,706_331_B,B
572,84_43_B,B
573,1661_793_B,B
574,788_367_S,S
575,1829_873_B,B
576,422_207_S,S
577,707_332_B,B
578,575_277_B,B
579,554_268_S,S
580,508_249_S,S
581,97_49_S,S
582,1227_576_B,B
583,1084_512_B,B
584,2235_1054_B,B
585,1788_849_B,B
586,1909_903_B,B
587,542_263_S,S
588,534_259_B,B
589,2591_1244_B,B
590,2039_960_S,S
591,1738_826_S,S
592,1185_560_S,S
593,163_78_B,B
594,377_185_S,S
595,1872_891_S,S
596,1116_526_S,S
597,1368_645_B,B
598,999_471_B,B
599,2281_1073_B,B
600,2060_972_S,S
601,1431_682_B,B
602,883_415_B,B
603,2469_1179_B,B
604,1761_834_S,S
605,504_248_S,S
606,1088_513_B,B
607,1895_900_S,S
608,325_155_B,B
609,722_339_S,S
610,1611_769_B,B
611,2439_1162_S,S
612,2403_1142_B,B
613,1374_650_B,B
614,937_443_B,B
615,1752_832_S,S
616,879_413_B,B
617,1487_712_S,S
618,604_290_B,B
619,1849_882_S,S
620,480_234_S,S
621,1801_858_B,B
622,342_167_B,B
623,1888_897_S,S
624,2124_1004_S,S
625,1109_522_S,S
626,363_178_S,S
627,1256_589_S,S
628,2013_946_B,B
629,18_8_S,S
630,1043_486_S,S
631,1313_621_S,S
632,2224_1050_S,S
633,2344_1112_B,B
634,1105_518_B,B
635,522_254_S,S
636,1479_706_B,B
637,1875_892_B,B
638,2465_1176_B,B
639,2580_1240_S,S
640,452_222_B,B
641,229_107_B,B
642,551_266_S,S
643,639_302_S,S
644,1445_688_B,B
645,1531_731_B,B
646,1039_486_S,S
647,1264_595_S,S
648,52_23_S,S
649,204_91_B,B
650,2373_1129_S,S
651,989_465_B,B
652,136_65_B,B
653,53_23_S,S
654,155_75_B,B
655,312_147_B,B
656,64_30_S,S
657,1721_818_B,B
658,2247_1061_B,B
659,65_30_S,S
660,144_71_B,B
661,2204_1040_B,B
662,1598_766_S,S
663,127_61_B,B
664,232_109_B,B
665,1754_833_S,S
666,1005_473_S,S
667,2130_1005_S,S
668,1045_487_S,S
669,307_145_S,S
670,1304_615_B,B
671,2524_1211_B,B
672,297_139_S,S
673,380_186_S,S
674,1271_597_B,B
675,1495_715_B,B
676,2498_1196_B,B
677,972_461_S,S
678,2230_1051_S,S
679,651_305_B,B
680,1578_757_S,S
681,1962_928_S,S
682,2267_1069_B,B
683,1507_721_S,S
684,1068_499_B,B
685,1520_727_S,S
686,576_278_B,B
687,2374_1129_S,S
688,611_292_S,S
689,990_466_S,S
690,1119_528_S,S
691,1616_772_B,B
692,1882_897_S,S
693,1070_500_B,B
694,1771_838_B,B
695,2132_1006_S,S
696,2308_1090_B,B
697,2578_1240_S,S
698,1679_800_S,S
699,1016_476_S,S
700,1395_663_S,S
701,440_218_S,S
702,1421_675_B,B
703,1384_656_B,B
704,1474_705_S,S
705,172_81_B,B
706,2256_1065_S,S
707,741_344_S,S
708,1688_804_B,B
709,1269_596_B,B
710,1814_867_S,S
711,1780_844_S,S
712,1653_788_B,B
713,1009_474_B,B
714,1683_800_B,B
715,2512_1205_B,B
716,1154_544_B,B
717,286_131_B,B
718,360_177_S,S
719,1863_887_B,B
720,1177_556_B,B
721,410_203_B,B
722,825_382_S,S
723,2331_1104_B,B
724,1456_695_S,S
725,323_154_B,B
726,339_165_S,S
727,1717_816_S,S
728,1807_864_B,B
729,2352_1116_S,S
730,1402_667_B,B
731,1274_599_B,B
732,2096_989_B,B
733,5_2_B,B
734,1542_739_B,B
735,1968_929_B,B
736,895_422_S,S
737,2176_1026_B,B
738,252_121_S,S
739,120_59_B,B
740,1282_605_S,S
741,2327_1101_B,B
742,94_47_B,B
743,1609_769_S,S
744,212_96_S,S
745,287_132_B,B
746,1176_555_B,B
747,213_96_S,S
748,2276_1072_B,B
749,1566_750_S,S
750,595_287_S,S
751,74_35_B,B
752,1650_786_S,S
753,1026_478_S,S
754,1372_648_B,B
755,566_273_S,S
756,239_114_B,B
757,1097_516_S,S
758,985_465_S,S
759,842_392_B,B
760,958_458_S,S
761,2389_1135_B,B
762,714_336_S,S
763,1350_638_B,B
764,2116_999_B,B
765,471_231_S,S
766,1220_574_B,B
767,2424_1155_S,S
768,751_349_S,S
769,632_299_S,S
770,1698_809_B,B
771,757_350_B,B
772,659_309_B,B
773,1600_766_S,S
774,1831_875_B,B
775,1976_931_S,S
776,2355_1117_B,B
777,1413_670_B,B
778,1253_586_B,B
779,383_188_B,B
780,941_445_B,B
781,2440_1162_S,S
782,673_314_B,B
783,1987_935_B,B
784,2139_1008_B,B
785,2209_1044_S,S
786,1529_731_S,S
787,1163_549_S,S
788,1644_786_S,S
789,1890_897_B,B
790,2490_1189_B,B
791,1289_607_B,B
792,806_374_S,S
793,2093_987_B,B
794,2158_1019_S,S
795,2287_1078_S,S
796,1742_827_B,B
797,912_431_B,B
798,1525_730_S,S
799,96_48_B,B
800,1523_729_B,B
801,476_232_B,B
802,1196_562_S,S
803,2545_1224_S,S
804,713_335_B,B
805,2601_1249_B,B
806,763_353_B,B
807,1926_911_S,S
808,469_230_S,S
809,1711_814_B,B
810,949_452_B,B
811,100_50_B,B
812,960_458_S,S
813,1879_896_B,B
814,2191_1034_B,B
815,48_21_B,B
816,1595_766_S,S
817,2210_1044_B,B
818,2055_968_B,B
819,775_361_S,S
820,2028_956_S,S
821,729_340_S,S
822,1071_501_B,B
823,77_38_B,B
824,1685_802_S,S
825,2575_1240_S,S
826,982_464_B,B
827,561_272_B,B
828,2489_1189_S,S
829,845_393_S,S
830,411_204_S,S
831,329_157_S,S
832,2035_959_S,S
833,1494_714_B,B
834,978_464_S,S
835,2067_974_B,B
836,2442_1163_S,S
837,851_395_B,B
838,2216_1048_S,S
839,1370_647_S,S
840,1293_609_S,S
841,121_60_S,S
842,1592_765_B,B
843,2506_1201_B,B
844,1501_718_S,S
845,1819_867_S,S
846,435_215_B,B
847,921_435_B,B
848,1838_878_B,B
849,137_66_S,S
850,1295_610_B,B
851,1058_493_S,S
852,1702_811_B,B
853,2497_1195_B,B
854,1971_930_B,B
855,967_460_S,S
856,118_58_S,S
857,243_116_B,B
858,2201_1040_S,S
859,731_341_S,S
860,384_189_S,S
861,2478_1183_B,B
862,459_225_S,S
863,1586_763_S,S
864,333_160_S,S
865,2448_1166_S,S
866,2519_1209_S,S
867,225_105_S,S
868,2296_1083_B,B
869,1420_674_B,B
870,849_394_B,B
871,1155_545_B,B
872,1789_850_S,S
873,1545_740_S,S
874,623_295_S,S
875,1481_708_S,S
876,1624_775_B,B
877,516_252_S,S
878,316_150_S,S
879,208_93_B,B
880,2383_1134_S,S
881,1539_738_B,B
882,1518_727_S,S
883,149_74_B,B
884,1002_472_B,B
885,1373_649_B,B
886,481_234_B,B
887,60_27_B,B
888,438_217_B,B
889,936_443_S,S
890,1625_776_B,B
891,1753_832_B,B
892,2142_1011_S,S
893,679_317_S,S
894,658_308_B,B
895,107_53_S,S
896,2594_1245_B,B
897,1257_589_B,B
898,106_53_S,S
899,2261_1067_S,S
900,2012_946_S,S
901,2492_1191_B,B
902,1874_892_S,S
903,1478_706_S,S
904,782_365_S,S
905,242_115_B,B
906,1104_518_S,S
907,4_2_S,S
908,14_5_B,B
909,2596_1246_B,B
910,1179_558_S,S
911,216_98_B,B
912,2510_1204_B,B
913,988_465_S,S
914,7_3_S,S
915,1444_688_S,S
916,1530_731_S,S
917,353_173_S,S
918,1898_901_B,B
919,1226_576_S,S
920,1522_728_B,B
921,2049_964_B,B
922,1288_606_B,B
923,2273_1072_S,S
924,423_207_B,B
925,1557_746_S,S
926,1315_622_S,S
927,789_367_B,B
928,1365_644_S,S
929,1654_789_S,S
930,1022_477_S,S
931,746_345_B,B
932,560_271_B,B
933,215_97_B,B
934,2328_1102_B,B
935,2173_1026_S,S
936,762_352_B,B
937,72_34_S,S
938,447_222_S,S
939,2555_1229_S,S
940,433_215_S,S
941,2206_1041_B,B
942,1830_874_B,B
943,1904_902_S,S
944,692_324_B,B
945,62_28_B,B
946,69_33_B,B
947,666_313_S,S
948,27_14_S,S
949,1610_769_S,S
950,587_283_S,S
951,1986_934_B,B
952,2265_1068_B,B
953,898_424_B,B
954,26_14_S,S
955,324_155_S,S
956,1117_526_B,B
957,1873_891_B,B
958,1878_895_B,B
959,1319_623_S,S
960,1649_786_S,S
961,1797_857_S,S
962,2185_1030_S,S
963,1347_636_B,B
964,365_179_B,B
965,126_61_S,S
966,1052_490_S,S
967,983_465_S,S
968,2447_1165_B,B
969,169_80_S,S
970,700_329_S,S
971,1790_850_B,B
972,1633_779_B,B
973,168_80_S,S
974,1168_552_S,S
975,1437_685_B,B
976,1011_475_S,S
977,2540_1220_B,B
978,2034_958_B,B
979,1933_914_S,S
980,1690_805_S,S
981,913_432_S,S
982,328_156_B,B
983,2279_1073_S,S
984,454_223_S,S
985,1362_643_B,B
986,254_121_S,S
987,800_372_B,B
988,300_140_B,B
989,864_404_B,B
990,737_343_S,S
991,408_202_S,S
992,273_127_S,S
993,1205_566_B,B
994,2038_959_B,B
995,2245_1059_B,B
996,535_260_S,S
997,1893_899_B,B
998,2232_1052_B,B
999,1747_830_S,S
1000,2475_1183_S,S
1001,1677_799_B,B
1002,774_360_B,B
1003,1953_925_B,B
1004,848_393_B,B
1005,2022_953_B,B
1006,1726_820_S,S
1007,2452_1168_S,S
1008,1997_940_S,S
1009,1190_562_S,S
1010,573_276_S,S
1011,2565_1235_B,B
1012,224_104_B,B
1013,490_238_S,S
1014,2436_1159_B,B
1015,1843_879_S,S
1016,1537_736_B,B
1017,1672_797_B,B
1018,1170_553_S,S
1019,330_157_B,B
1020,2416_1151_B,B
1021,2311_1092_B,B
1022,1321_623_B,B
1023,1958_927_S,S
1024,2106_994_S,S
1025,793_369_B,B
1026,497_243_B,B
1027,1735_823_B,B
1028,2320_1098_B,B
1029,347_171_B,B
1030,465_228_B,B
1031,1839_879_S,S
1032,681_318_B,B
1033,1954_926_S,S
1034,1514_724_B,B
1035,2157_1018_B,B
1036,1919_909_S,S
1037,1237_581_S,S
1038,730_340_B,B
1039,2031_956_B,B
1040,2196_1037_B,B
1041,1202_565_S,S
1042,2066_973_B,B
1043,85_44_S,S
1044,581_281_S,S
1045,199_89_S,S
1046,2558_1229_B,B
1047,2048_963_B,B
1048,198_89_S,S
1049,2294_1082_S,S
1050,275_127_B,B
1051,1387_658_B,B
1052,1824_869_B,B
1053,398_198_S,S
1054,6_3_S,S
1055,1032_483_S,S
1056,1884_897_S,S
1057,2242_1058_S,S
1058,2562_1232_B,B
1059,1159_546_S,S
1060,718_337_B,B
1061,2523_1210_B,B
1062,2167_1024_S,S
1063,798_372_S,S
1064,1536_735_B,B
1065,2504_1200_S,S
1066,2223_1049_B,B
1067,510_249_S,S
1068,1003_473_S,S
1069,2495_1194_S,S
1070,1512_722_B,B
1071,266_124_S,S
1072,2560_1231_B,B
1073,2080_982_S,S
1074,915_432_B,B
1075,1935_914_B,B
1076,2154_1016_B,B
1077,1964_928_S,S
1078,194_88_B,B
1079,1407_670_S,S
1080,2409_1146_B,B
1081,823_382_S,S
1082,693_325_S,S
1083,1581_759_B,B
1084,872_410_S,S
1085,432_214_B,B
1086,1418_674_S,S
1087,2140_1009_B,B
1088,1796_856_B,B
1089,1285_606_S,S
1090,1204_565_B,B
1091,244_117_B,B
1092,174_82_B,B
1093,2016_949_B,B
1094,1425_678_S,S
1095,1331_628_S,S
1096,899_425_S,S
1097,892_421_S,S
1098,1165_550_S,S
1099,1305_616_S,S
1100,1100_517_B,B
1101,1472_705_S,S
1102,993_468_S,S
1103,862_402_B,B
1104,2401_1140_B,B
1105,529_257_B,B
1106,352_172_B,B
1107,2455_1169_B,B
1108,1346_635_B,B
1109,1278_603_B,B
1110,1461_698_S,S
1111,768_357_S,S
1112,1623_774_B,B
1113,1639_783_B,B
1114,930_441_S,S
1115,426_210_S,S
1116,525_254_B,B
1117,1102_518_S,S
1118,1617_773_S,S
1119,1667_796_B,B
1120,301_141_B,B
1121,577_279_S,S
1122,801_373_B,B
1123,1048_487_B,B
1124,1946_922_S,S
1125,784_365_S,S
1126,687_321_B,B
1127,865_405_B,B
1128,1759_833_B,B
1129,907_429_S,S
1130,1008_473_B,B
1131,592_286_S,S
1132,1442_688_S,S
1133,1218_574_S,S
1134,764_354_S,S
1135,2259_1066_B,B
1136,828_384_S,S
1137,44_20_B,B
1138,2165_1023_B,B
1139,747_346_S,S
1140,603_290_S,S
1141,364_178_B,B
1142,2364_1124_B,B
1143,322_153_B,B
1144,538_260_S,S
1145,1899_902_S,S
1146,1806_863_B,B
1147,1777_842_B,B
1148,246_118_S,S
1149,1980_932_S,S
1150,306_144_B,B
1151,1791_851_B,B
1152,2458_1170_B,B
1153,1556_745_B,B
1154,1314_621_B,B
1155,1044_486_B,B
1156,389_192_B,B
1157,2178_1028_S,S
1158,1632_778_B,B
1159,1240_581_S,S
1160,1902_902_S,S
1161,1515_725_B,B
1162,1357_641_B,B
1163,261_123_S,S
1164,533_259_S,S
1165,143_70_B,B
1166,2087_985_S,S
1167,545_263_B,B
1168,1549_741_B,B
1169,346_170_B,B
1170,1845_880_S,S
1171,1429_680_B,B
1172,2197_1038_B,B
1173,1414_671_B,B
1174,205_92_B,B
1175,2226_1050_S,S
1176,1069_500_S,S
1177,119_58_B,B
1178,1254_587_B,B
1179,2283_1075_S,S
1180,2248_1062_S,S
1181,674_315_B,B
1182,2359_1121_B,B
1183,1572_754_S,S
1184,338_164_B,B
1185,725_339_B,B
1186,838_390_S,S
1187,2156_1017_B,B
1188,1363_644_S,S
1189,1385_657_S,S
1190,277_128_S,S
1191,2588_1243_B,B
1192,2314_1094_B,B
1193,1696_807_B,B
1194,1450_691_B,B
1195,657_307_B,B
1196,368_182_S,S
1197,1247_584_S,S
1198,2023_954_S,S
1199,159_77_S,S
1200,2485_1186_B,B
1201,158_77_S,S
1202,1921_910_S,S
1203,1126_532_S,S
1204,1024_477_S,S
1205,2253_1063_B,B
1206,1689_805_S,S
1207,1035_484_S,S
1208,1513_723_B,B
1209,362_178_S,S
1210,843_393_S,S
1211,1889_897_S,S
1212,2369_1126_B,B
1213,1486_712_S,S
1214,2299_1084_B,B
1215,1448_689_B,B
1216,1055_491_B,B
1217,642_302_S,S
1218,1121_528_B,B
1219,1042_486_S,S
1220,2238_1055_B,B
1221,1312_621_S,S
1222,500_246_S,S
1223,750_348_B,B
1224,1303_614_B,B
1225,2333_1105_S,S
1226,1221_575_S,S
1227,1351_639_S,S
1228,470_230_B,B
1229,1451_692_B,B
1230,223_103_B,B
1231,2254_1064_B,B
1232,675_316_B,B
1233,616_293_S,S
1234,523_254_S,S
1235,1837_877_B,B
1236,1279_604_S,S
1237,2313_1093_B,B
1238,1703_812_S,S
1239,594_286_B,B
1240,130_63_B,B
1241,2414_1150_B,B
1242,1265_595_S,S
1243,1593_766_S,S
1244,1940_919_S,S
1245,1561_748_S,S
1246,609_291_B,B
1247,1415_672_B,B
1248,477_233_S,S
1249,555_268_S,S
1250,918_434_S,S
1251,1392_662_S,S
1252,528_256_B,B
1253,1134_534_S,S
1254,509_249_S,S
1255,2198_1039_B,B
1256,2042_960_S,S
1257,1776_841_B,B
1258,868_407_B,B
1259,92_46_B,B
1260,2399_1140_S,S
1261,404_201_S,S
1262,863_403_B,B
1263,2129_1005_S,S
1264,258_122_S,S
1265,202_91_S,S
1266,54_23_B,B
1267,2286_1077_B,B
1268,1188_561_S,S
1269,1684_801_B,B
1270,203_91_S,S
